,세대,인구수,세대당인구,65세이상고령자,고령비율,맥도널드,맥버거비율
강남구,231219,557865,2.39,65859,11.805544352128205,11,19.71803214039239
강동구,177490,438225,2.45,56983,13.003137657595985,4,9.127731188316504
강북구,143139,327511,2.26,57002,17.404606257499747,5,15.266662799112094
강서구,256042,608361,2.35,77381,12.719585903764374,4,6.575043436380702
관악구,258536,522292,1.95,70807,13.556975791319795,1,1.9146377888231103
광진구,161407,371671,2.21,44470,11.964882920647565,2,5.381103179962923
구로구,171751,440396,2.38,59838,13.587316869363027,5,11.353418287177904
금천구,106333,253344,2.2,34640,13.673108500694706,4,15.788808892257167
노원구,217999,555803,2.53,75081,13.508563285912453,5,8.995993184635564
도봉구,137479,345041,2.49,54293,15.73523146524616,2,5.79641260024171
동대문구,160489,364962,2.18,56284,15.421879538143699,3,8.220033866539529
동작구,173544,406715,2.27,57711,14.189543046113375,4,9.83489667211684
마포구,170219,385624,2.2,50122,12.997635001970833,5,12.965997966931518
서대문구,137758,324871,2.27,49645,15.281450175608162,3,9.23443459096072
서초구,174225,445164,2.53,54055,12.142715942888465,6,13.478178828476697
성동구,134543,314551,2.28,41752,13.273523212452035,3,9.537404109349518
성북구,187234,453902,2.36,66896,14.73798308886059,3,6.609356204643293
송파구,266550,671994,2.5,77978,11.603972654517749,6,8.92865114867097
양천구,176559,473087,2.66,56070,11.851942665936711,5,10.568880565308284
영등포구,168784,403988,2.19,54704,13.540996267215858,4,9.901284196560294
용산구,108497,245411,2.12,37238,15.173728968954125,2,8.149593946481616
은평구,203431,490253,2.39,75535,15.407350898413675,3,6.119289428111609
종로구,73879,164348,2.09,26429,16.081120549078783,5,30.42324822936695
중구,60903,135139,2.07,21655,16.024241706687192,3,22.199365098158193
중랑구,179600,411552,2.27,59992,14.577015784153645,3,7.2894798227198505
